epoch,accuracy,loss,val_accuracy,val_loss
0,0.9209714531898499,0.875534176826477,0.9700000286102295,0.162864089012146
1,0.9557142853736877,0.25028544664382935,0.9599999785423279,0.34575843811035156
2,0.9647428393363953,0.2191752791404724,0.9800000190734863,0.07408277690410614
3,0.9661142826080322,0.22724130749702454,0.9751999974250793,0.14277154207229614
4,0.9710285663604736,0.1882808804512024,0.9815999865531921,0.10169925540685654
5,0.9745143055915833,0.1866580843925476,0.9796000123023987,0.14745627343654633
6,0.9761142730712891,0.1970539093017578,0.9764000177383423,0.1133919209241867
7,0.9777714014053345,0.1419796645641327,0.9860000014305115,0.045404694974422455
8,0.9806857109069824,0.14965984225273132,0.9815999865531921,0.12815412878990173
9,0.9795428514480591,0.16338466107845306,0.9860000014305115,0.0649743601679802
10,0.982114315032959,0.1301358938217163,0.9860000014305115,0.09974435716867447
11,0.9832000136375427,0.11388503015041351,0.9868000149726868,0.07181557267904282
12,0.9860000014305115,0.1337970346212387,0.9855999946594238,0.08890704065561295
13,0.9849143028259277,0.12119634449481964,0.9864000082015991,0.1364772915840149
14,0.985885739326477,0.13145975768566132,0.9843999743461609,0.29091280698776245
15,0.9818857312202454,0.1356346756219864,0.9836000204086304,0.11474888026714325
16,0.9837142825126648,0.11691451817750931,0.9891999959945679,0.05258530378341675
17,0.9846285581588745,0.13641056418418884,0.9864000082015991,0.08705393224954605
18,0.9865714311599731,0.0739668756723404,0.9904000163078308,0.06392688304185867
19,0.9834285974502563,0.1362018585205078,0.9879999756813049,0.07806569337844849
20,0.9866285920143127,0.09267410635948181,0.9887999892234802,0.061027634888887405
21,0.9874285459518433,0.1045198068022728,0.9911999702453613,0.047083448618650436
22,0.9847428798675537,0.09134616702795029,0.9872000217437744,0.16707634925842285
23,0.9885714054107666,0.08281716704368591,0.980400025844574,0.15133103728294373
24,0.9894857406616211,0.09737475961446762,0.9876000285148621,0.12967266142368317
25,0.9887999892234802,0.0852837786078453,0.9891999959945679,0.11372604966163635
26,0.9849714040756226,0.11362732201814651,0.9900000095367432,0.07052091509103775
27,0.9882857203483582,0.05579842999577522,0.9887999892234802,0.06543611735105515
28,0.9892571568489075,0.09050590544939041,0.9872000217437744,0.08767671138048172
29,0.9874857068061829,0.10248814523220062,0.9883999824523926,0.0887814313173294
30,0.9901142716407776,0.07953726500272751,0.9851999878883362,0.08513980358839035
31,0.9896000027656555,0.08067777752876282,0.9887999892234802,0.14994969964027405
32,0.9905714392662048,0.09183688461780548,0.9868000149726868,0.21612823009490967
33,0.9880571365356445,0.08438433706760406,0.9896000027656555,0.07166055589914322
34,0.9909142851829529,0.06583253294229507,0.9896000027656555,0.057702891528606415
35,0.9884571433067322,0.10646034777164459,0.9896000027656555,0.10172302275896072
36,0.9879428744316101,0.07029469311237335,0.9911999702453613,0.06173554062843323
37,0.9922285676002502,0.05621590465307236,0.9828000068664551,0.2874719500541687
38,0.991428554058075,0.05780057981610298,0.9879999756813049,0.10547354817390442
39,0.9889714121818542,0.0946011021733284,0.9896000027656555,0.23937377333641052
40,0.9902856945991516,0.06508705019950867,0.9868000149726868,0.137480691075325
41,0.9912571310997009,0.09060382843017578,0.9887999892234802,0.11914605647325516
42,0.9910857081413269,0.049295373260974884,0.9887999892234802,0.1780332773923874
43,0.991771399974823,0.08875471353530884,0.9868000149726868,0.16127482056617737
44,0.9927999973297119,0.04679688438773155,0.9883999824523926,0.12315959483385086
45,0.9923999905586243,0.06287005543708801,0.9872000217437744,0.15973877906799316
46,0.9901714324951172,0.07957980036735535,0.9864000082015991,0.21103854477405548
47,0.9892571568489075,0.08910779654979706,0.9896000027656555,0.24508659541606903
48,0.9893142580986023,0.09635067731142044,0.9908000230789185,0.21303264796733856
49,0.9910857081413269,0.09340845793485641,0.9911999702453613,0.1306888610124588
50,0.991599977016449,0.0546644888818264,0.9896000027656555,0.08072984963655472
51,0.9926285743713379,0.042702097445726395,0.9868000149726868,0.14561827480793
52,0.9913714528083801,0.07159364223480225,0.9904000163078308,0.1313709020614624
53,0.9907428622245789,0.06219381093978882,0.9876000285148621,0.2032480239868164
54,0.9891428351402283,0.08760879188776016,0.9872000217437744,0.14453661441802979
55,0.9922285676002502,0.05711788311600685,0.991599977016449,0.09535645693540573
56,0.9923999905586243,0.08599530160427094,0.9919999837875366,0.08902442455291748
57,0.993314266204834,0.04969319328665733,0.9940000176429749,0.10686592012643814
58,0.9923999905586243,0.0626271516084671,0.9896000027656555,0.14109711349010468
59,0.9944571256637573,0.049376532435417175,0.9896000027656555,0.15168242156505585
